,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
17,,@TonyMichaels166,"2024-10-05 16:57:53",3,no,no,"Seeing this film in a theater full of older people who remember and were present in the time its set added a whole new element to the viewing experience. They were all hooting and whooping during the final scene.",UCreHRwTi9lo1wdoSUu1A0GQ,UgxXDNLxzmozYRFPAzt4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxXDNLxzmozYRFPAzt4AaABAg
18,,@AdrianScottty,"2024-10-12 03:02:30",0,no,no,"Lewis Kimberly Lewis Cynthia Harris Matthew",UCyabjfqOFhHtbdbeHzmv8Rg,UgyipyLHVsOhaGvczxp4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyipyLHVsOhaGvczxp4AaABAg
19,,@josemedeiros007,"2024-10-15 00:45:40",4,no,no,"Great movie, I was lucky enough to see it for free at an advance screening at AMC Saratoga theaters before it was released to the public.",UCPG78qqw3UDf6xwM4b3f9Ew,Ugyx0YmLIG1lG8iXC5N4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugyx0YmLIG1lG8iXC5N4AaABAg
20,,@josephkunath4173,"2024-10-16 16:24:04",1,no,no,"Fantastic movie",UCFSFYYZZ_PGSukVwdq3zuhw,Ugy9aCP1tu0acgA17M94AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugy9aCP1tu0acgA17M94AaABAg
21,,@ANFattahShafy-jj4sk,"2024-10-18 13:10:15",2,no,no,"Alpacino thinks leonerdo(49) is brad pitts(60) father. Really😂😂😂",UCTeAUu-sHUJN6J3-VQjGv6Q,UgyGVcydfk3mqLo0J_Z4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyGVcydfk3mqLo0J_Z4AaABAg
22,,@nilam5658,"2024-10-19 09:32:19",0,no,no,"Waste of time",UCnYkiVhOJ8-h-lLyADnachg,Ugyu-SADEpicMAnpDbJ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugyu-SADEpicMAnpDbJ4AaABAg
23,,@radioactive.rabbit,"2024-10-21 20:55:34",1,no,no,"So interested, in which shady rings and ""relationships"" Leo is in. White nights at p Diddy huh",UC_Z46teE-wEriCpd6RFlK_Q,UgwZxtD0ssRN1XokCxh4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwZxtD0ssRN1XokCxh4AaABAg
24,,@TheDisruptiveOne,"2024-10-22 04:22:15",1,no,no,"some of the secondary actors in this movie have become pretty big stars in their own right",UC-L2rXGJ93hpG-WKhKwDVuA,UgyBDXnL4G1e7UHz_lJ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyBDXnL4G1e7UHz_lJ4AaABAg
25,,@kshitijhargude5201,"2024-10-25 15:44:46",2,no,no,"This movie has One of the best cast Ever",UC7vl3RZhChQcMnihNOzB8mA,Ugxe_1E2iZLOEZcklap4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugxe_1E2iZLOEZcklap4AaABAg
26,,@muffassa6739,"2024-10-26 08:48:09",1,no,no,"A great masterpiece 👏 with how we wished it to happen the killer's not killing anyone that night but getting killed .perfect cast 👌 a great movie and I've watched it many times 👌 👍 😀",UCJo2_qdJHPXMj0VEb3THhqA,UgyQ5cmuBBPP8QT2pvV4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyQ5cmuBBPP8QT2pvV4AaABAg
27,,@timluke8933,"2024-10-30 07:37:58",0,no,no,"rock spider",UCxr-Z3CGbeeIhpC2rc8ZFzg,UgyE-xAUuU91zjlCUVd4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyE-xAUuU91zjlCUVd4AaABAg
28,,@DiCaprioMOVIE,"2024-10-30 20:58:50",5,no,no,"underrated film unfortunately.😢",UChwottke0X_fKeLx9rAYAHw,UgwIhF9kpOlmNThmIeh4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwIhF9kpOlmNThmIeh4AaABAg
29,,@Chemwarrior319,"2024-11-02 01:49:10",0,no,no,"Once upon a time in Hollywood best thing ever happened to me in life ❤",UCVGlWEi9sVJsdplrucx7Jvg,UgwzXMgcQmjPbYMbEvd4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwzXMgcQmjPbYMbEvd4AaABAg
30,,@ryanmartin407,"2024-11-06 15:26:06",0,no,no,"Once upon a time in hollywood",UCmLqOTpzsiaeJPBhRBCLN_g,UgycHoyxqjl0Flu7hcN4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgycHoyxqjl0Flu7hcN4AaABAg
31,,@TYMOEnglishforKids,"2024-11-10 14:35:26",0,no,no,"the most unbelievable part is Leo forgot how to act in the movie",UCTfvy53tLhB-E9khaOmXuSg,UgzCLT6u-yMypP_be1d4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzCLT6u-yMypP_be1d4AaABAg
32,,@urbanjunglednbbreakcorehhc6781,"2024-11-12 06:49:44",1,no,no,"What do you think about 13-14 year olds being legal in Europe and Americans are dating ugly old ladies? ?",UCHQMIsLVyMWDOOk0KqLmhzA,UgyR1tCa8uNB06B2Axx4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyR1tCa8uNB06B2Axx4AaABAg
33,,@kennethsnider3456,"2024-11-20 23:22:56",0,no,no,"I just today found out that Tex was played by Austin Butler.",UCIEkQqaNzEgUromufqQxVIw,UgycDy3jrFCBSaVlvAB4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgycDy3jrFCBSaVlvAB4AaABAg
34,,@ValerieEhrlich-h1i,"2024-11-24 04:06:22",0,no,no,"Using music by Neil Diamond and Paul Revere and The Raiders.......THANK YOU",UCozwRgA5jumSy8nHL8jMqkw,Ugy6uehel0v9vjIUwpZ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugy6uehel0v9vjIUwpZ4AaABAg
35,,@hognuckles,"2024-11-25 09:25:03",4,no,no,"I am a huge Tarantino fan. This is my first time watching once upon a Time in hollywood, I am 1 hour in and and this has to be the most boring movie I have ever spent an hour of my life watching. Leonard part 6 was better in the first hour.",UCxs2YyIbm8faXcPS8mw8ARQ,UgxewNAWYbIu_4HIJFF4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxewNAWYbIu_4HIJFF4AaABAg
36,,@ilyesbenamar4578,"2024-12-16 21:12:45",1,no,no,"They made a nostalgic trailer the day they released it😂😂❤❤",UCtWXj0FantHwaS0w6vEluTQ,Ugzs0FAUoImJU8W-cI94AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugzs0FAUoImJU8W-cI94AaABAg
37,,@vernhalvorson7326,"2024-12-18 03:50:54",2,no,no,"Good movie.   For a minute I thought it was a true story for a bit.   So had to look that up.    Now I could only wish the ending could have been true.",UC8CrzksODrPj_BBOK-bvvdw,UgzJNKXbooVPUIM8UQJ4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzJNKXbooVPUIM8UQJ4AaABAg
38,,@Bearguy7700,"2024-12-18 09:20:44",2,no,no,"This movie is 5 years old 😐 time flies",UCk6sRdtjXKMVZ5fGwg7_ZQg,UgyuU3sXadjehztYohB4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyuU3sXadjehztYohB4AaABAg
39,,@Cragar-i7q,"2024-12-24 01:41:36",0,no,no,"n then they stroked each other off at hollywood cars n coffee",UCV8LEWrV5P0wgl1ZKW-ZleA,UgyCUMkMqjY54Sx4TNl4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyCUMkMqjY54Sx4TNl4AaABAg
40,,@24mmfilm40,"2024-12-24 19:10:46",0,no,no,"Quinten is getting old. He started to remember the old age",UCm7bOwFhB1iO0KOn1YRLJyA,UgzzgjUMcYSH1SP9RMh4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzzgjUMcYSH1SP9RMh4AaABAg
41,,@thec.e.oofbasedindustries8013,"2025-01-05 14:38:18",2,no,no,"The entire aesthetic of this movie is what I think the 60s looks like",UC_Mwt_bDh19UKACc0vQuLlQ,UgwgMo8iSmp-zLl5kDx4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgwgMo8iSmp-zLl5kDx4AaABAg
42,,@anonaki-mt6xb,"2025-01-06 19:41:56",1,no,no,"Leonardo DiCaprio, World Economic Forum member and Globalist stooge.",UC5FLxdVeB6muWlxA__FSuFQ,Ugw2Ne3GaIsezr1FzTp4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugw2Ne3GaIsezr1FzTp4AaABAg
43,,@AnhTuPhucDerrickHoangCanada,"2025-01-07 20:22:19",1,no,no,"Cults of the Elite",UCybBtaY1Ib84aie9mGKZTlw,UgxaSImptnANdHNoo994AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgxaSImptnANdHNoo994AaABAg
44,,@mattgehringer7292,"2025-01-11 19:22:19",0,no,no,"Excellent soundtrack!",UCUfjxpns4WZxJfCsCWqBvVQ,UgyzkE9UDewVd20_iAx4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgyzkE9UDewVd20_iAx4AaABAg
45,,@wallymoon666,"2025-01-13 23:00:18",0,no,no,"When the camera pans to show Cielo dr and mentions Sharon Tates name i was blown away.",UCug7ktecJWXXdbWLSz-bXuw,Ugw0rxrrgS8e_mAbxYh4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=Ugw0rxrrgS8e_mAbxYh4AaABAg
46,,@archibaldsalyards926,"2025-01-19 01:13:50",0,no,no,"At the end of the day: if we ask the question: ""We are ALL already HasBins!!!""",UCRJy1U2xPI9yHTtzBWXXzGA,UgzvrUksWq5ZDJ49CQt4AaABAg,https://www.youtube.com/watch?v=ELeMaP8EPAA&lc=UgzvrUksWq5ZDJ49CQt4AaABAg
